ruta;objetivo;avance;proycierre
1101;64.6;52.3;81.0
1102;64.6;58.6;90.7
1112;64.6;52.3;80.9
2001;64.0;72.8;113.9
2002;64.0;68.9;107.8
2003;64.0;69.2;108.2
2004;64.0;68.6;107.3
2006;64.0;67.3;105.2
2007;64.0;68.8;107.6
2009;64.0;70.0;109.5
2010;64.0;70.3;109.9
3001;64.3;72.7;113.2
3002;64.3;70.8;110.2
3003;64.3;74.7;116.2
3004;64.3;71.3;111.0
3005;64.3;64.9;101.0
3006;64.3;56.6;88.1
3007;64.3;68.4;106.5
3008;64.3;60.6;94.3
3009;64.3;58.6;91.2
3010;64.3;71.3;111.0
4001;62.9;49.9;79.4
4002;62.9;53.2;84.6
4003;62.9;48.4;77.0
4004;62.9;48.8;77.5
4005;62.9;52.5;83.5
4006;62.9;53.0;84.2
4007;62.9;52.2;83.0
4008;62.9;49.3;78.4
4009;62.9;53.6;85.2
4010;62.9;50.1;79.7
6001;65.6;47.0;71.6
6002;65.6;54.8;83.4
6003;65.6;51.3;78.1
6004;65.6;54.2;82.6
6005;65.6;51.4;78.3
6006;65.6;54.7;83.3
6007;65.6;50.4;76.7
6008;65.6;52.7;80.3
6009;65.6;50.8;77.4
6010;65.6;53.4;81.3
7001;64.7;85.6;132.3
7002;64.7;67.0;103.6
7003;64.7;61.6;95.1
7004;64.7;70.5;109.0
7005;64.7;63.7;98.4
7006;64.7;79.7;123.2
7007;64.7;82.3;127.3
7008;64.7;74.6;115.3
7009;64.7;77.1;119.2
7010;64.7;71.4;110.3
8001;63.1;46.8;74.1
8002;63.1;39.5;62.6
8003;63.1;68.5;108.5
8004;63.1;41.1;65.0
8005;63.1;49.6;78.5
8006;63.1;53.3;84.5
8007;63.1;55.9;88.6
8008;63.1;51.8;82.1
8009;63.1;42.4;67.2
8010;63.1;47.6;75.4
10002;0.0;10.4;0.0
10003;0.0;9.5;0.0
10004;0.0;2.5;0.0
10005;0.0;8.3;0.0
10006;0.0;9.0;0.0
10007;0.0;10.0;0.0
10009;0.0;11.2;0.0
10011;0.0;9.5;0.0
11001;65.3;71.9;110.1
11006;65.3;85.3;130.6
12001;62.8;59.9;95.4
12002;62.8;73.1;116.3
12003;62.8;61.6;98.1
12004;62.8;48.6;77.3
12005;62.8;45.2;71.9
12006;62.8;68.5;109.1
12007;62.8;75.2;119.8
12008;62.8;52.7;83.9
12009;62.8;72.4;115.3
14002;64.6;62.2;96.3
14003;64.6;59.2;91.5
14004;64.6;53.5;82.8
14005;64.6;61.8;95.6
14007;64.6;57.6;89.1
14009;64.6;61.1;94.4
16001;63.2;47.2;74.6
16002;63.2;45.8;72.5
16003;63.2;50.5;79.8
16004;63.2;47.6;75.3
16005;63.2;47.3;74.9
16006;63.2;48.2;76.2
16007;63.2;47.8;75.6
16008;63.2;47.6;75.4
16009;63.2;45.8;72.5
16010;63.2;48.1;76.1
17001;63.5;56.5;89.0
17002;63.5;57.6;90.8
17003;63.5;60.4;95.1
17005;63.5;57.3;90.3
17006;63.5;61.2;96.4
17007;63.5;60.5;95.2
17008;63.5;60.4;95.1
17009;63.5;58.9;92.8
17010;63.5;58.8;92.7
17011;63.5;63.6;100.2
18001;61.3;56.1;91.5
18002;61.3;61.7;100.7
18003;61.3;60.5;98.8
18004;61.3;60.6;98.9
18005;61.3;59.6;97.4
18006;61.3;60.1;98.2
18008;61.3;59.2;96.6
18009;61.3;61.6;100.6
23001;62.8;35.0;55.8
23003;62.8;37.4;59.6
23004;62.8;53.8;85.6
23005;62.8;46.4;73.9
23006;62.8;39.8;63.4
23008;62.8;59.2;94.4
23009;62.8;44.2;70.4
24001;64.2;78.4;122.1
24002;64.2;79.9;124.4
24003;64.2;69.2;107.7
24004;64.2;75.9;118.1
24005;64.2;75.0;116.8
24006;64.2;79.6;124.0
24007;64.2;74.4;115.7
24008;64.2;59.6;92.9
24009;64.2;72.4;112.7
26001;62.2;52.0;83.6
26002;62.2;55.6;89.4
26003;62.2;60.6;97.3
26004;62.2;52.5;84.3
26005;62.2;53.2;85.5
26006;62.2;53.4;85.9
26007;62.2;51.8;83.3
26008;62.2;53.7;86.3
26009;62.2;54.9;88.2
28001;63.2;57.0;90.2
28003;63.2;58.7;92.8
28007;63.2;49.3;78.0
28008;63.2;73.4;116.1
28010;63.2;52.1;82.3
31001;64.2;48.2;75.1
31002;64.2;60.3;93.9
31003;64.2;64.6;100.7
31004;64.2;63.1;98.2
31005;64.2;66.6;103.8
31006;64.2;37.4;58.3
31007;64.2;46.2;72.0
31008;64.2;54.5;84.9
31009;64.2;56.0;87.2
31010;64.2;52.7;82.1
31011;64.2;42.5;66.3
32001;64.2;52.6;82.0
32002;64.2;58.1;90.5
32003;64.2;46.5;72.5
32004;64.2;48.4;75.5
32005;64.2;44.0;68.5
32006;64.2;37.4;58.3
32007;64.2;41.3;64.4
32008;64.2;52.3;81.5
32009;64.2;49.9;77.7
32010;64.2;42.2;65.7
32011;64.2;55.2;86.0
33001;64.2;48.5;75.5
33004;64.2;52.3;81.4
33006;64.2;59.3;92.3
33007;64.2;54.1;84.3
33008;64.2;56.9;88.7
33009;64.2;53.7;83.7
33010;64.2;60.8;94.7
36001;64.2;64.9;101.1
36002;64.2;53.6;83.5
36003;64.2;45.7;71.2
36004;64.2;49.7;77.4
36005;64.2;39.9;62.1
36006;64.2;40.5;63.1
36007;64.2;28.8;44.9
36008;64.2;55.3;86.2
36009;64.2;44.0;68.5
36010;64.2;53.5;83.3
36011;64.2;34.0;52.9
41001;64.2;27.8;43.3
41003;64.2;20.6;32.1
41004;64.2;27.4;42.7
41005;64.2;18.9;29.4
41006;64.2;35.6;55.4
41007;64.2;21.7;33.8
41008;64.2;37.9;59.0
41009;64.2;24.7;38.4
41011;64.2;29.7;46.3
42001;63.3;69.2;109.3
42002;63.3;71.4;112.8
42003;63.3;66.3;104.7
42004;63.3;65.6;103.6
42005;63.3;68.6;108.3
42006;63.3;68.9;108.8
42007;63.3;64.8;102.4
42008;63.3;67.9;107.2
42009;63.3;64.3;101.6
42010;63.3;63.8;100.8
42011;63.3;74.7;118.0
45001;63.3;65.3;103.2
45002;63.3;72.8;114.9
45003;63.3;68.5;108.2
45004;63.3;66.2;104.5
45006;63.3;63.2;99.7
45007;63.3;61.1;96.5
45008;63.3;64.8;102.4
45009;63.3;66.5;105.0
45010;63.3;69.2;109.4
45011;63.3;73.6;116.2
46001;63.3;67.1;105.9
46002;63.3;73.7;116.4
46003;63.3;68.4;108.0
46004;63.3;70.4;111.1
46006;63.3;70.9;111.9
46008;63.3;68.9;108.8
46009;63.3;66.0;104.2
46010;63.3;70.3;111.0
69001;64.3;72.3;112.3
69002;64.3;71.6;111.3
69003;64.3;74.2;115.3
69004;64.3;74.3;115.4
69005;64.3;76.9;119.5
69006;64.3;78.5;122.0
69007;64.3;72.8;113.2
69008;64.3;71.5;111.2
75001;63.3;65.5;103.4
75004;63.3;67.3;106.3
75010;63.3;72.7;114.7
76001;63.3;76.3;120.5
76002;63.3;69.0;109.0
76004;63.3;71.8;113.4
76005;63.3;69.2;109.3
76006;63.3;64.4;101.7
76007;63.3;71.0;112.1
76008;63.3;70.2;110.8
76009;63.3;69.1;109.1
76010;63.3;73.5;116.0
76011;63.3;68.4;108.1
94002;64.3;73.8;114.7
94004;64.3;61.6;95.8
94005;64.3;70.2;109.2
94006;64.3;75.0;116.5
94008;64.3;69.7;108.3
95001;64.3;61.9;96.3
95002;64.3;62.5;97.2
95003;64.3;61.0;94.8
95004;64.3;63.0;97.9
95005;64.3;62.6;97.2
95006;64.3;63.3;98.4
96001;64.3;72.8;113.2
96003;64.3;74.5;115.8
96004;64.3;65.2;101.3
96005;64.3;72.8;113.2
96006;64.3;74.8;116.3
96007;64.3;74.0;115.0
96008;64.3;76.2;118.5
96009;64.3;73.2;113.9
96010;64.3;71.8;111.6
97003;64.3;74.7;116.1
99101;63.4;69.5;109.6
99102;63.4;68.4;107.9
99103;63.4;66.2;104.4
99104;63.4;71.3;112.6
99105;63.4;66.1;104.4
99106;63.4;65.5;103.4
99107;63.4;69.2;109.3
99108;63.4;67.3;106.2
99109;63.4;69.5;109.7
99201;63.4;90.0;142.0
99202;63.4;51.9;81.9
99203;63.4;53.6;84.5
99204;63.4;51.4;81.1
99205;63.4;45.0;71.0
99206;63.4;67.2;106.0
99207;63.4;40.4;63.7
99208;63.4;62.7;98.9
99301;63.4;94.8;149.6
99302;63.4;70.7;111.5
99303;63.4;67.6;106.7
99304;63.4;63.2;99.8
99305;63.4;66.6;105.1
99306;63.4;74.9;118.3
99308;63.4;68.5;108.1
99701;63.7;46.6;73.2
99703;63.7;57.2;89.8
99704;63.7;47.0;73.8
99705;63.7;51.9;81.5
99706;63.7;56.1;88.0
99707;63.7;58.5;91.9
99708;63.7;47.2;74.2
99709;63.7;48.1;75.5
99901;63.7;71.5;112.3
