pais,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6,a7,p7,a8,p8,a9,p9,a10,p10
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PE,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0.01,,,,,,
PE,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0.02,,,,,,
PE,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0.03,,,,,,
PE,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0.04,,,,,,
PE,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0.05,,,,,,
PE,0.06,0,0.06,0,0.06,0,0.06,0,0.06,0,0.06,0,0.06,0.06,,,,,,
PE,0.07,0,0.07,0,0.07,0,0.07,0,0.07,0,0.07,0,0.07,0.07,,,,,,
PE,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0.08,,,,,,
PE,0.09,0,0.09,0,0.09,0,0.09,0,0.09,0,0.09,0,0.09,0.09,,,,,,
PE,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.1,,,,,,
PE,0.11,0,0.11,0,0.11,0,0.11,0,0.11,0,0.11,0,0.11,0.11,,,,,,
PE,0.12,0,0.12,0,0.12,0,0.12,0,0.12,0,0.12,0,0.12,0.12,,,,,,
PE,0.13,0,0.13,0,0.13,0,0.13,0,0.13,0,0.13,0,0.13,0.13,,,,,,
PE,0.14,0,0.14,0,0.14,0,0.14,0,0.14,0,0.14,0,0.14,0.14,,,,,,
PE,0.15,0,0.15,0,0.15,0,0.15,0,0.15,0,0.15,0,0.15,0.15,,,,,,
PE,0.16,0,0.16,0,0.16,0,0.16,0,0.16,0,0.16,0,0.16,0.16,,,,,,
PE,0.17,0,0.17,0,0.17,0,0.17,0,0.17,0,0.17,0,0.17,0.17,,,,,,
PE,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0,0.18,0.18,,,,,,
PE,0.19,0,0.19,0,0.19,0,0.19,0,0.19,0,0.19,0,0.19,0.19,,,,,,
PE,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0.2,,,,,,
PE,0.21,0,0.21,0,0.21,0,0.21,0,0.21,0,0.21,0,0.21,0.21,,,,,,
PE,0.22,0,0.22,0,0.22,0,0.22,0,0.22,0,0.22,0,0.22,0.22,,,,,,
PE,0.23,0,0.23,0,0.23,0,0.23,0,0.23,0,0.23,0,0.23,0.23,,,,,,
PE,0.24,0,0.24,0,0.24,0,0.24,0,0.24,0,0.24,0,0.24,0.24,,,,,,
PE,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,,,,,,
PE,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0.26,,,,,,
PE,0.27,0,0.27,0,0.27,0,0.27,0,0.27,0,0.27,0,0.27,0.27,,,,,,
PE,0.28,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,0.28,,,,,,
PE,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0.29,,,,,,
PE,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.3,,,,,,
PE,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0.31,,,,,,
PE,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0.32,,,,,,
PE,0.33,0,0.33,0,0.33,0,0.33,0,0.33,0,0.33,0,0.33,0.33,,,,,,
PE,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0.34,,,,,,
PE,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,,,,,,
PE,0.36,0,0.36,0,0.36,0,0.36,0,0.36,0,0.36,0,0.36,0.36,,,,,,
PE,0.37,0,0.37,0,0.37,0,0.37,0,0.37,0,0.37,0,0.37,0.37,,,,,,
PE,0.38,0,0.38,0,0.38,0,0.38,0,0.38,0,0.38,0,0.38,0.38,,,,,,
PE,0.39,0,0.39,0,0.39,0,0.39,0,0.39,0,0.39,0,0.39,0.39,,,,,,
