pais,articulo,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10
PE,508462,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508469,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508503,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508517,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508520,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508597,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508705,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508961,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508962,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508963,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,508969,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,512330,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,521744,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,521760,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521765,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,Nuevos negocios,,,,,,,,,,,,,
PE,521766,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521781,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521782,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521783,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521784,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521785,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521789,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521790,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade,Sporade + Volt,,,,,,,,,,,,,
PE,521799,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521804,Agua,Agua,Agua,Agua,Agua,Agua,Gaseosas + Agua,,,,,,,,,,,,,
PE,521832,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,521833,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Cifrut+Tea+Bio,Pulp+Cifrut+Free Tea+Bio,,,,,,,,,,,,,
PE,521851,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas,Gaseosas + Agua,,,,,,,,,,,,,
PE,521854,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521857,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521858,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521859,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521861,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521862,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521864,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521866,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521867,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521868,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
PE,521869,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,Bebidas Alcoholicas,,,,,,,,,,,,,
