pais,articulo,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
PE,508462, ,,,,,,,,,,,,,,,,,,,,,,,,
PE,508469,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508503,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508517,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508520,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508597,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508705,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508961,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508962,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508963,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508969,,,,,,,,,,,,,,,,,,,,,,,,,
PE,512330,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521744,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521760,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521765,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521766,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521781,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521782,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521783,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521784,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521785,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521789,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521790,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,521799,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521804,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521832,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521833,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521851,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521854,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521857,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521858,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521859,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521861,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521862,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521864,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521866,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521867,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521868,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521869,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521892,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521937,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,521938,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,521939,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,521942,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,521994,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521996,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521997,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522076,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522078,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522079,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522080,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522081,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522082,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522083,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522089,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522102,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522103,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522104,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522105,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522106,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522157,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522163,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,522166,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522167,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522168,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522181,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522193,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522194,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522211,,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,
PE,522212,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522242,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522243,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522356,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522376,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522377,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522381,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522382,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522383,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522384,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522385,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522387,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522388,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522390,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522391,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522392,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522393,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522394,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522395,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522396,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522417,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522419,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522420,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522421,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522422,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522423,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522434,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522438,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,522439,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,522603,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522616,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522617,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522618,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522628,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522629,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522630,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522666,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599048,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599049,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599056,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599057,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599058,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599061,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599103,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599105,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599107,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599182,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599183,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599202,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,599204,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,599205,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,599206,,,,,,,,,,,,,,MARCA FOCO,,,,,,,,,,,
PE,599235,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599238,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599289,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599298,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599302,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599303,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599305,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599308,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599311,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599340,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599344,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599345,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599346,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599347,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599348,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599350,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599360,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599363,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599364,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599367,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599370,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,599371,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,599373,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
