pais,cod_zona,cod_ruta,agrupacion,objetivo_clientes,valor,sistema
GT,13001,13001,PULP,222,200,9
GT,13001,13001,VOLT,222,300,8
GT,13001,13001,BIO,222,200,4
GT,13001,13001,NN,222,700,4
GT,13001,13002,PULP,245,200,9
GT,13001,13002,VOLT,245,300,8
GT,13001,13002,BIO,245,200,4
GT,13001,13002,NN,245,700,4
GT,13001,13003,PULP,234,200,9
GT,13001,13003,VOLT,234,300,8
GT,13001,13003,BIO,234,200,4
GT,13001,13003,NN,234,700,4
GT,13001,13004,PULP,294,200,9
GT,13001,13004,VOLT,294,300,8
GT,13001,13004,BIO,294,200,4
GT,13001,13004,NN,294,700,4
GT,13001,13005,PULP,214,200,9
GT,13001,13005,VOLT,214,300,8
GT,13001,13005,BIO,214,200,4
GT,13001,13005,NN,214,700,4
GT,13001,13006,PULP,234,200,9
GT,13001,13006,VOLT,234,300,8
GT,13001,13006,BIO,234,200,4
GT,13001,13006,NN,234,700,4
GT,13001,13019,PULP,265,200,9
GT,13001,13019,VOLT,265,300,8
GT,13001,13019,BIO,265,200,4
GT,13001,13019,NN,265,700,4
GT,13002,13007,PULP,339,200,9
GT,13002,13007,VOLT,339,300,8
GT,13002,13007,BIO,339,200,4
GT,13002,13007,NN,339,700,4
GT,13002,13008,PULP,199,200,9
GT,13002,13008,VOLT,199,300,8
GT,13002,13008,BIO,199,200,4
GT,13002,13008,NN,199,700,4
GT,13002,13009,PULP,275,200,9
GT,13002,13009,VOLT,275,300,8
GT,13002,13009,BIO,275,200,4
GT,13002,13009,NN,275,700,4
GT,13002,13010,PULP,313,200,9
GT,13002,13010,VOLT,313,300,8
GT,13002,13010,BIO,313,200,4
GT,13002,13010,NN,313,700,4
GT,13002,13011,PULP,251,200,9
GT,13002,13011,VOLT,251,300,8
GT,13002,13011,BIO,251,200,4
GT,13002,13011,NN,251,700,4
GT,13002,13012,PULP,228,200,9
GT,13002,13012,VOLT,228,300,8
GT,13002,13012,BIO,228,200,4
GT,13002,13012,NN,228,700,4
GT,13003,13013,PULP,276,200,9
GT,13003,13013,VOLT,276,300,8
GT,13003,13013,BIO,276,200,4
GT,13003,13013,NN,276,700,4
GT,13003,13014,PULP,194,200,9
GT,13003,13014,VOLT,194,300,8
GT,13003,13014,BIO,194,200,4
GT,13003,13014,NN,194,700,4
GT,13003,13015,PULP,206,200,9
GT,13003,13015,VOLT,206,300,8
GT,13003,13015,BIO,206,200,4
GT,13003,13015,NN,206,700,4
GT,13003,13016,PULP,196,200,9
GT,13003,13016,VOLT,196,300,8
GT,13003,13016,BIO,196,200,4
GT,13003,13016,NN,196,700,4
GT,13003,13017,PULP,164,200,9
GT,13003,13017,VOLT,164,300,8
GT,13003,13017,BIO,164,200,4
GT,13003,13017,NN,164,700,4
GT,13003,13018,PULP,198,200,9
GT,13003,13018,VOLT,198,300,8
GT,13003,13018,BIO,198,200,4
GT,13003,13018,NN,198,700,4
GT,12001,12001,PULP,216,200,8
GT,12001,12001,VOLT,216,300,8
GT,12001,12001,BIO,216,200,4
GT,12001,12001,NN,216,700,5
GT,12001,12003,PULP,236,200,8
GT,12001,12003,VOLT,236,300,8
GT,12001,12003,BIO,236,200,4
GT,12001,12003,NN,236,700,5
GT,12001,12004,PULP,226,200,8
GT,12001,12004,VOLT,226,300,8
GT,12001,12004,BIO,226,200,4
GT,12001,12004,NN,226,700,5
GT,12001,12005,PULP,199,200,8
GT,12001,12005,VOLT,199,300,8
GT,12001,12005,BIO,199,200,4
GT,12001,12005,NN,199,700,5
GT,12001,12006,PULP,248,200,8
GT,12001,12006,VOLT,248,300,8
GT,12001,12006,BIO,248,200,4
GT,12001,12006,NN,248,700,5
GT,12001,12007,PULP,174,200,8
GT,12001,12007,VOLT,174,300,8
GT,12001,12007,BIO,174,200,4
GT,12001,12007,NN,174,700,5
GT,12001,12008,PULP,177,200,8
GT,12001,12008,VOLT,177,300,8
GT,12001,12008,BIO,177,200,4
GT,12001,12008,NN,177,700,5
GT,12001,12009,PULP,257,200,8
GT,12001,12009,VOLT,257,300,8
GT,12001,12009,BIO,257,200,4
GT,12001,12009,NN,257,700,5
GT,12001,12020,PULP,197,200,8
GT,12001,12020,VOLT,197,300,8
GT,12001,12020,BIO,197,200,4
