pais;ruta;descripcion;modelo
CO;69001;TAT MIXTO SIN CA-BQ;m5
CO;69002;TAT EXC BEB BQ;m4
CO;69003;TAT EXC BEB BQ;m4
CO;69004;TAT EXC BEB BQ;m4
CO;69005;TAT EXC BEB BQ;m4
CO;69006;TAT EXC BEB BQ;m4
CO;69007;TAT EXC BEB BQ;m4
CO;69008;TAT EXC BEB BQ;m4
CO;69009;TAT EXC BEB BQ;m4
CO;94001;TAT EXC BEB BQ;m4
CO;94002;TAT EXC BEB BQ;m4
CO;94003;TAT EXC BEB BQ;m4
CO;94004;TAT EXC BEB BQ;m4
CO;94005;TAT EXC BEB BQ;m4
CO;94006;TAT EXC BEB BQ;m4
CO;94007;TAT EXC BEB BQ;m4
CO;94008;TAT EXC BEB BQ;m4
CO;94009;TAT EXC BEB BQ;m4
CO;95001;TAT EXC BEB BQ;m4
CO;95002;TAT EXC BEB BQ;m4
CO;95003;TAT EXC BEB BQ;m4
CO;95004;TAT EXC BEB BQ;m4
CO;95005;TAT EXC BEB BQ;m4
CO;95006;TAT EXC BEB BQ;m4
CO;95007;TAT EXC BEB BQ;m4
CO;95008;TAT EXC BEB BQ;m4
CO;96001;TAT EXC BEB BQ;m4
CO;96002;TAT EXC BEB BQ;m4
CO;96003;TAT EXC BEB BQ;m4
CO;96004;TAT EXC BEB BQ;m4
CO;96005;TAT EXC BEB BQ;m4
CO;96006;TAT EXC BEB BQ;m4
CO;96007;TAT EXC BEB BQ;m4
CO;96008;TAT EXC BEB BQ;m4
CO;96009;TAT EXC BEB BQ;m4
CO;96010;TAT EXC BEB BQ;m4
CO;97001;TAT EXC BEB BQ;m4
CO;97002;TAT EXC BEB BQ;m4
CO;97003;TAT EXC BEB BQ;m4
CO;97004;TAT EXC BEB BQ;m4
CO;97005;TAT EXC BEB BQ;m4
CO;97006;TAT EXC BEB BQ;m4
CO;97007;TAT EXC BEB BQ;m4
CO;97008;TAT EXC BEB BQ;m4
CO;97009;TAT EXC BEB BQ;m4
CO;97010;TAT EXC BEB BQ;m4
CO;1001;TAT MIXTO SIN CA-BQ;m5
CO;1002;TAT MIXTO SIN CA-BQ;m5
CO;1003;TAT MIXTO SIN CA-BQ;m5
CO;1004;TAT MIXTO SIN CA-BQ;m5
CO;1005;TAT MIXTO SIN CA-BQ;m5
CO;1006;TAT MIXTO SIN CA-BQ;m5
CO;1007;TAT MIXTO SIN CA-BQ;m5
CO;1008;TAT MIXTO SIN CA-BQ;m5
CO;1009;TAT MIXTO SIN CA-BQ;m5
CO;1010;TAT MIXTO SIN CA-BQ;m5
CO;1011;TAT MIXTO SIN CA-BQ;m5
CO;1012;TAT MIXTO SIN CA-BQ;m5
CO;1013;TAT MIXTO SIN CA-BQ;m5
CO;7001;TAT MIXTO SIN CA-BQ;m5
CO;7002;TAT MIXTO SIN CA-BQ;m5
CO;7003;TAT MIXTO SIN CA-BQ;m5
CO;7004;TAT MIXTO SIN CA-BQ;m5
CO;7005;TAT MIXTO SIN CA-BQ;m5
CO;7006;TAT MIXTO SIN CA-BQ;m5
CO;7007;TAT MIXTO SIN CA-BQ;m5
CO;7008;TAT MIXTO SIN CA-BQ;m5
CO;7009;TAT MIXTO SIN CA-BQ;m5
CO;7010;TAT MIXTO SIN CA-BQ;m5
CO;14001;TAT MIXTO SIN CA-BQ;m5
CO;14002;TAT MIXTO SIN CA-BQ;m5
CO;14003;TAT MIXTO SIN CA-BQ;m5
CO;14004;TAT MIXTO SIN CA-BQ;m5
CO;14005;TAT MIXTO SIN CA-BQ;m5
CO;14006;TAT MIXTO SIN CA-BQ;m5
CO;14007;TAT MIXTO SIN CA-BQ;m5
CO;14008;TAT MIXTO SIN CA-BQ;m5
CO;14009;TAT MIXTO SIN CA-BQ;m5
CO;14010;TAT MIXTO SIN CA-BQ;m5
CO;14011;TAT MIXTO SIN CA-BQ;m5
CO;17001;TAT MIXTO SIN CA-BQ;m5
CO;17002;TAT MIXTO SIN CA-BQ;m5
CO;17003;TAT MIXTO SIN CA-BQ;m5
CO;17004;TAT MIXTO SIN CA-BQ;m5
CO;17005;TAT MIXTO SIN CA-BQ;m5
CO;17006;TAT MIXTO SIN CA-BQ;m5
CO;17007;TAT MIXTO SIN CA-BQ;m5
CO;17008;TAT MIXTO SIN CA-BQ;m5
CO;17009;TAT MIXTO SIN CA-BQ;m5
CO;17010;TAT MIXTO SIN CA-BQ;m5
CO;17011;ASESOR MINIM EXC BEB;m4
CO;24001;TAT MIXTO SIN CA-BQ;m5
CO;24002;TAT MIXTO SIN CA-BQ;m5
CO;24003;TAT MIXTO SIN CA-BQ;m5
CO;24004;TAT MIXTO SIN CA-BQ;m5
CO;24005;TAT MIXTO SIN CA-BQ;m5
CO;24006;TAT MIXTO SIN CA-BQ;m5
CO;24007;TAT MIXTO SIN CA-BQ;m5
CO;24008;TAT MIXTO SIN CA-BQ;m5
CO;24009;TAT MIXTO SIN CA-BQ;m5
CO;28001;TAT MIXTO SIN CA-BQ;m5
CO;28002;TAT MIXTO SIN CA-BQ;m5
CO;28003;TAT MIXTO SIN CA-BQ;m5
CO;28004;TAT MIXTO SIN CA-BQ;m5
CO;28005;TAT MIXTO SIN CA-BQ;m5
CO;28006;TAT MIXTO SIN CA-BQ;m5
CO;28007;TAT MIXTO SIN CA-BQ;m5
CO;28008;TAT MIXTO SIN CA-BQ;m5
CO;28009;TAT MIXTO SIN CA-BQ;m5
CO;28010;TAT MIXTO SIN CA-BQ;m5
CO;2001;TAT MIXTO SIN CA-BQ;m5
CO;2002;TAT MIXTO SIN CA-BQ;m5
CO;2003;TAT MIXTO SIN CA-BQ;m5
CO;2004;TAT MIXTO SIN CA-BQ;m5
CO;2005;TAT MIXTO SIN CA-BQ;m5
CO;2006;TAT MIXTO SIN CA-BQ;m5
CO;2007;TAT MIXTO SIN CA-BQ;m5
CO;2008;TAT MIXTO SIN CA-BQ;m5
CO;2009;TAT MIXTO SIN CA-BQ;m5
CO;2010;TAT MIXTO SIN CA-BQ;m5
CO;5001;TAT MIXTO SIN CA-BQ;m5
CO;5002;TAT MIXTO SIN CA-BQ;m5
CO;5003;TAT MIXTO SIN CA-BQ;m5
CO;5004;TAT MIXTO SIN CA-BQ;m5
CO;5005;TAT MIXTO SIN CA-BQ;m5
CO;5006;TAT MIXTO SIN CA-BQ;m5
CO;5007;TAT MIXTO SIN CA-BQ;m5
CO;5008;TAT MIXTO SIN CA-BQ;m5
CO;5009;TAT MIXTO SIN CA-BQ;m5
CO;5010;TAT MIXTO SIN CA-BQ;m5
CO;12001;TAT MIXTO SIN CA-BQ;m5
CO;12002;TAT MIXTO SIN CA-BQ;m5
CO;12003;TAT MIXTO SIN CA-BQ;m5
CO;12004;TAT MIXTO SIN CA-BQ;m5
CO;12005;TAT MIXTO SIN CA-BQ;m5
CO;12006;TAT MIXTO SIN CA-BQ;m5
CO;12007;TAT MIXTO SIN CA-BQ;m5
CO;12008;TAT MIXTO SIN CA-BQ;m5
CO;12009;TAT MIXTO SIN CA-BQ;m5
CO;12010;TAT MIXTO SIN CA-BQ;m5
CO;18001;TAT MIXTO SIN CA-BQ;m5
CO;18002;TAT MIXTO SIN CA-BQ;m5
CO;18003;TAT MIXTO SIN CA-BQ;m5
CO;18004;TAT MIXTO SIN CA-BQ;m5
CO;18005;TAT MIXTO SIN CA-BQ;m5
CO;18006;TAT MIXTO SIN CA-BQ;m5
CO;18007;TAT MIXTO SIN CA-BQ;m5
CO;18008;TAT MIXTO SIN CA-BQ;m5
CO;18009;TAT MIXTO SIN CA-BQ;m5
CO;18010;TAT MIXTO SIN CA-BQ;m5
CO;23001;TAT MIXTO SIN CA-BQ;m5
CO;23002;TAT MIXTO SIN CA-BQ;m5
CO;23003;TAT MIXTO SIN CA-BQ;m5
CO;23004;TAT MIXTO SIN CA-BQ;m5
CO;23005;TAT MIXTO SIN CA-BQ;m5
CO;23006;TAT MIXTO SIN CA-BQ;m5
CO;23007;TAT MIXTO SIN CA-BQ;m5
CO;23008;TAT MIXTO SIN CA-BQ;m5
CO;23009;TAT MIXTO SIN CA-BQ;m5
CO;26001;TAT MIXTO SIN CA-BQ;m5
CO;26002;TAT MIXTO SIN CA-BQ;m5
CO;26003;TAT MIXTO SIN CA-BQ;m5
CO;26004;TAT MIXTO SIN CA-BQ;m5
CO;26005;TAT MIXTO SIN CA-BQ;m5
CO;26006;TAT MIXTO SIN CA-BQ;m5
CO;26007;TAT MIXTO SIN CA-BQ;m5
CO;26008;TAT MIXTO SIN CA-BQ;m5
CO;26009;TAT MIXTO SIN CA-BQ;m5
