pais,cod_zona,cod_ruta,desc_marca,objetivo_clientes
GT,13001,13001,BIG,152
GT,13001,13001,CIELO,195
GT,13001,13001,CIFRUT,152
GT,13001,13001,PULP,109
GT,13001,13001,SPORADE,130
GT,13001,13001,VOLT,109
GT,13001,13001,KR,65
GT,13001,13001,BIO ALOE,43
GT,13001,13001,D GUSSTO,54
GT,13001,13002,BIG,149
GT,13001,13002,CIELO,192
GT,13001,13002,CIFRUT,149
GT,13001,13002,PULP,107
GT,13001,13002,SPORADE,128
GT,13001,13002,VOLT,107
GT,13001,13002,KR,64
GT,13001,13002,BIO ALOE,43
GT,13001,13002,D GUSSTO,53
GT,13001,13003,BIG,158
GT,13001,13003,CIELO,203
GT,13001,13003,CIFRUT,158
GT,13001,13003,PULP,113
GT,13001,13003,SPORADE,136
GT,13001,13003,VOLT,113
GT,13001,13003,KR,68
GT,13001,13003,BIO ALOE,45
GT,13001,13003,D GUSSTO,57
GT,13001,13004,BIG,204
GT,13001,13004,CIELO,263
GT,13001,13004,CIFRUT,204
GT,13001,13004,PULP,146
GT,13001,13004,SPORADE,175
GT,13001,13004,VOLT,146
GT,13001,13004,KR,88
GT,13001,13004,BIO ALOE,58
GT,13001,13004,D GUSSTO,73
GT,13001,13005,BIG,152
GT,13001,13005,CIELO,195
GT,13001,13005,CIFRUT,152
GT,13001,13005,PULP,109
GT,13001,13005,SPORADE,130
GT,13001,13005,VOLT,109
GT,13001,13005,KR,65
GT,13001,13005,BIO ALOE,43
GT,13001,13005,D GUSSTO,54
GT,13001,13006,BIG,161
GT,13001,13006,CIELO,207
GT,13001,13006,CIFRUT,161
GT,13001,13006,PULP,115
GT,13001,13006,SPORADE,138
GT,13001,13006,VOLT,115
GT,13001,13006,KR,69
GT,13001,13006,BIO ALOE,46
GT,13001,13006,D GUSSTO,58
GT,13001,13019,BIG,140
GT,13001,13019,CIELO,180
GT,13001,13019,CIFRUT,140
GT,13001,13019,PULP,100
GT,13001,13019,SPORADE,120
GT,13001,13019,VOLT,100
GT,13001,13019,KR,60
GT,13001,13019,BIO ALOE,40
GT,13001,13019,D GUSSTO,50
GT,13002,13007,BIG,207
